y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0,0.083265826,56,0,1817.0,8311.0,12,0,2,0,0.7572222678605657
0,0.9999998999999999,41,0,2871.0,8311.0,4,0,2,0,0.0
0,0.2043729,48,0,0.6652551999999999,4250.0,7,0,2,0,1.0
0,0.248501348,66,0,0.8298279159999999,4183.0,17,0,3,0,0.0
0,0.4805325,25,0,2.600998,400.0,8,0,0,0,0.0
0,0.44474220000000003,50,0,0.1453295,37500.0,7,0,1,1,3.0
0,0.2502066,51,0,0.42769229999999997,9749.0,17,0,2,0,2.0
0,0.3038913,42,0,0.4707549,6000.0,6,0,1,0,0.0
0,227.0,78,0,0.003088538,2913.0,4,0,0,0,0.0
1,0.5696817,47,0,6.163151999999999,900.0,11,0,2,0,2.0
0,0.19385894399999998,67,2,0.596839219,6200.0,7,0,2,0,0.0
0,0.201654733,58,0,1353.0,8311.0,7,0,2,0,2.0
0,0.7497322,33,0,2224.0,8311.0,10,0,2,0,0.0
0,0.03725924,25,0,530.0,1159.0,3,0,0,0,0.0
1,0.05791103,33,0,93.0,1159.0,4,0,0,0,0.0
0,0.588328,65,0,0.34239369999999997,2280.0,4,0,0,0,1.0
0,0.9999998999999999,61,0,0.0,5356.0,3,0,0,0,0.7572222678605657
0,0.3358627,47,0,0.6526997,3555.0,7,0,3,0,3.0
0,0.01199145,81,0,29.0,1159.0,5,0,0,0,0.0
0,0.04078369,27,1,0.01675978,3400.0,2,1,0,0,0.0
0,0.7652205,48,0,524.0,1159.0,2,0,0,0,0.7572222678605657
0,0.22294829999999996,44,1,0.2748257,8750.0,6,0,1,0,3.0
0,0.9999998999999999,23,0,0.0,1564.0,1,0,0,0,0.0
0,0.02948292,51,0,0.19957149999999999,9800.0,5,0,1,0,0.0
0,0.43178990000000006,47,0,0.3059914,12300.0,10,0,3,0,2.0
0,0.0062861769999999996,40,0,0.0016617429999999998,5415.0,3,0,0,0,0.0
0,0.7558293,31,0,0.22612220000000002,7150.0,6,0,0,0,0.0
0,0.011888332,68,0,1479.0,2554.0,12,0,1,0,0.0
0,0.039356206,47,0,0.256293308,11400.0,6,0,1,0,1.0
0,0.0,61,0,0.09513379699999999,10500.0,11,0,2,0,0.0
0,0.9999998999999999,33,0,0.3946513,4000.0,4,0,1,0,1.0
0,0.13398859999999999,55,0,0.6744730999999999,5977.0,21,0,5,0,0.0
0,0.019811546,56,0,0.067488752,6000.0,19,0,1,0,0.0
0,0.01901806,41,0,0.21544720000000003,1475.0,7,0,0,0,0.0
0,0.9999998999999999,70,0,0.0,5356.0,2,0,0,0,0.7572222678605657
1,1.7584830000000002,39,0,231.0,1159.0,12,3,0,1,0.0
0,0.1337622,69,0,0.257785,10500.0,5,0,1,0,0.0
1,0.707533235,56,0,0.280726606,12000.0,6,0,1,0,3.0
0,0.000580907,60,1,5.492957746,425.0,10,0,2,0,0.0
0,0.13094056699999998,41,1,998.0,2554.0,9,0,1,0,0.0
0,0.0019999,58,0,0.41679160000000004,2000.0,4,0,2,0,0.0
0,0.0,61,0,916.0,8311.0,6,0,2,0,0.0
0,0.4617128,53,0,0.26352220000000004,3900.0,6,0,1,0,0.0
0,0.017609685,61,0,0.269442609,4538.0,7,0,1,0,1.0
0,0.23760879999999998,87,0,99.0,1159.0,4,0,0,0,0.7572222678605657
0,0.10821420000000001,35,0,0.617284,1700.0,4,0,1,0,1.0
0,0.0,42,0,0.08218064,4915.0,9,0,0,0,0.0
0,0.11493527,35,1,0.101624323,2400.0,3,0,0,0,0.0
0,0.5152872000000001,42,0,0.7527387,5750.0,24,0,3,0,2.0
1,0.1846751,53,0,1.0688739999999999,4500.0,14,0,2,0,2.0
0,0.22048690899999998,46,0,0.919328041,5416.0,10,0,4,0,0.0
1,2.079734,28,0,0.3643927,3004.0,1,3,1,0,0.0
0,0.2083275,43,1,0.4764521,8917.0,14,0,2,0,0.0
1,0.9999998999999999,32,0,0.1818527,2633.0,1,4,0,0,1.0
0,0.005945625,29,0,0.03508453,5500.0,5,0,0,0,0.0
0,0.009381804,44,0,0.013369901000000002,2916.0,14,0,0,0,0.0
1,0.868128833,49,1,0.399930103,8583.0,7,0,2,1,2.0
0,0.2395153,85,0,122.0,1159.0,4,0,0,0,0.0
0,0.01019796,71,0,0.2514998,2166.0,6,0,1,0,0.0
0,0.150445,69,0,0.15487160000000003,5100.0,8,0,1,0,0.0
0,1.011694,44,1,0.5074092,4183.0,6,1,2,0,2.0
0,0.01205218,35,1,1.225296,6000.0,11,0,3,0,1.0
0,0.003251656,58,0,10.0,1159.0,12,0,0,0,0.0
0,0.01281047,59,0,0.26929133899999996,1269.0,6,0,2,0,2.0
0,0.719133902,59,0,1787.0,2554.0,11,0,1,0,0.0
0,0.8311688,25,0,0.35054120000000005,1200.0,4,0,0,0,0.0
0,0.02897061,47,0,0.5002318,2156.0,9,0,1,0,0.0
0,0.0016987760000000001,70,0,0.17331682699999998,10500.0,10,0,2,0,0.0
0,0.1351685,67,0,0.619017,6225.0,13,0,1,0,0.0
0,0.0019297679999999999,76,0,0.000285796,3498.0,3,0,0,0,0.0
0,0.01323026,76,0,1836.0,2554.0,11,0,1,0,0.0
0,0.03267448,70,0,689.0,2554.0,6,0,1,0,0.0
